"","siteID","plotID","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha","mean.root.MgC.ha","total.carbon","soil.C.Mg.ha"
"1","DSNY","DSNY_006",400,1170.61230427834,2.92653076069585,29.2653076069585,13.7546945752705,NA,1680.98,16.8098
"2","DSNY","DSNY_008",400,934.368997857332,2.33592249464333,23.3592249464333,10.9788357248236,NA,NA,NA
"3","DSNY","DSNY_009",400,34.6070839344056,0.086517709836014,0.86517709836014,0.406633236229266,NA,10250.08,102.5008
"4","DSNY","DSNY_010",400,1392.53997723497,3.48134994308741,34.8134994308741,16.3623447325108,NA,13625.81,136.2581
"5","DSNY","DSNY_012",400,1179.24977038447,2.94812442596117,29.4812442596117,13.8561848020175,NA,NA,NA
"6","DSNY","DSNY_014",400,1556.02690251433,3.89006725628582,38.9006725628582,18.2833161045434,NA,NA,NA
"7","DSNY","DSNY_025",400,350.976944986765,0.877442362466912,8.77442362466912,4.12397910359448,NA,NA,NA
"8","DSNY","DSNY_034",400,148.151381751445,0.370378454378612,3.70378454378612,1.74077873557948,NA,NA,NA
"9","JERC","JERC_001",400,3512.87762175279,8.78219405438197,87.8219405438197,41.2763120555952,NA,NA,NA
"10","JERC","JERC_002",400,2903.37700990972,7.2584425247743,72.584425247743,34.1146798664392,NA,10010.75,100.1075
"11","JERC","JERC_003",400,6070.01579609688,15.1750394902422,151.750394902422,71.3226856041383,NA,6046.44,60.4644
"12","JERC","JERC_005",400,2415.62373933979,6.03905934834949,60.3905934834949,28.3835789372426,NA,5448.72,54.4872
"13","JERC","JERC_006",400,0.160667486776442,0.000401668716941105,0.00401668716941105,0.00188784296962319,NA,5014.1,50.141
"14","JERC","JERC_007",400,2147.33246839992,5.36833117099979,53.6833117099979,25.231156503699,NA,NA,NA
"15","JERC","JERC_009",400,1114.98299216261,2.78745748040652,27.8745748040652,13.1010501579106,NA,8862.48,88.6248
"16","JERC","JERC_010",400,2822.81871615071,7.05704679037678,70.5704679037678,33.1681199147709,NA,3584.79,35.8479
"17","JERC","JERC_011",400,6345.03104145949,15.8625776036487,158.625776036487,74.554114737149,NA,NA,NA
"18","JERC","JERC_016",400,1850.42333537193,4.62605833842982,46.2605833842982,21.7424741906202,NA,2758.6,27.586
"19","JERC","JERC_047",800,7697.49789196444,9.62187236495555,96.2187236495555,45.2228001152911,2.83921681543334,2786.1947826087,27.861947826087
"20","JERC","JERC_050",800,7554.85060166161,9.44356325207702,94.4356325207702,44.384747284762,2.69136913331414,NA,NA
"21","JERC","JERC_054",800,10165.1970254934,12.7064962818668,127.064962818668,59.7205325247738,5.55934350705442,NA,NA
"22","OSBS","OSBS_001",400,5013.80291735033,12.5345072933758,125.345072933758,58.9121842788664,NA,NA,NA
"23","OSBS","OSBS_002",400,3185.23596597923,7.96308991494807,79.6308991494807,37.4265226002559,NA,4065.6,40.656
"24","OSBS","OSBS_003",400,6269.0963622662,15.6727409056655,156.727409056655,73.6618822566278,NA,4762.62,47.6262
"25","OSBS","OSBS_004",400,2338.19433955495,5.84548584888737,58.4548584888737,27.4737834897706,NA,NA,NA
"26","OSBS","OSBS_006",400,4707.3068803424,11.768267200856,117.68267200856,55.3108558440232,NA,NA,NA
"27","OSBS","OSBS_007",400,2461.96855256526,6.15492138141316,61.5492138141316,28.9281304926418,NA,4908.16,49.0816
"28","OSBS","OSBS_008",400,2133.84398585428,5.33460996463569,53.3460996463569,25.0726668337877,NA,4742.58,47.4258
"29","OSBS","OSBS_015",400,316.068149963125,0.790170374907812,7.90170374907812,3.71380076206672,NA,19757.9501538462,197.579501538462
"30","OSBS","OSBS_022",400,202.137882748254,0.505344706870634,5.05344706870634,2.37512012229198,NA,156712.986666667,1567.12986666667
"31","OSBS","OSBS_023",400,364.328523028085,0.910821307570212,9.10821307570212,4.28086014558,NA,17043.1,170.431
"32","OSBS","OSBS_025",800,1018.07500746377,1.27259375932971,12.7259375932971,5.98119066884966,2.13499496112871,NA,NA
"33","OSBS","OSBS_026",800,4799.25078189743,5.99906347737178,59.9906347737178,28.1955983436474,1.84522027065937,8366.86523076923,83.6686523076923
"34","OSBS","OSBS_034",800,6322.7041674871,7.90338020935888,79.0338020935888,37.1458869839867,6.44632810250504,NA,NA
"35","OSBS","OSBS_042",800,6110.57025656036,7.63821282070045,76.3821282070045,35.8996002572921,5.07249496112871,NA,NA
"36","OSBS","OSBS_051",400,429.673068340408,1.07418267085102,10.7418267085102,5.0486585529998,NA,5535.46,55.3546
"37","OSBS","OSBS_063",400,1668.87378588648,4.17218446471619,41.7218446471619,19.6092669841661,NA,NA,NA
"38","OSBS","OSBS_067",400,3076.5666768496,7.69141669212401,76.9141669212401,36.1496584529828,NA,NA,NA
"39","DSNY","DSNY_041",NA,NA,NA,NA,NA,0.827236539015261,NA,NA
"40","DSNY","DSNY_042",NA,NA,NA,NA,NA,10.45618053556,NA,NA
"41","DSNY","DSNY_043",NA,NA,NA,NA,NA,1.20818960552836,NA,NA
"42","DSNY","DSNY_044",NA,NA,NA,NA,NA,1.53260869565217,8134.76,81.3476
"43","DSNY","DSNY_045",NA,NA,NA,NA,NA,2.42226605240426,NA,NA
"44","DSNY","DSNY_046",NA,NA,NA,NA,NA,1.40120357040023,NA,NA
"45","DSNY","DSNY_047",NA,NA,NA,NA,NA,0.796855024474518,NA,NA
"46","DSNY","DSNY_048",NA,NA,NA,NA,NA,1.61458465303772,NA,NA
"47","DSNY","DSNY_049",NA,NA,NA,NA,NA,1.74663259429888,NA,NA
"48","DSNY","DSNY_050",NA,NA,NA,NA,NA,4.12061978116902,NA,NA
"49","DSNY","DSNY_051",NA,NA,NA,NA,NA,3.51772602936942,NA,NA
"50","DSNY","DSNY_052",NA,NA,NA,NA,NA,1.53609343507054,NA,NA
"51","DSNY","DSNY_053",NA,NA,NA,NA,NA,1.21167434494673,NA,NA
"52","DSNY","DSNY_054",NA,NA,NA,NA,NA,1.33326806795278,NA,NA
"53","DSNY","DSNY_055",NA,NA,NA,NA,NA,1.00546573567521,NA,NA
"54","DSNY","DSNY_056",NA,NA,NA,NA,NA,22.3889094442845,NA,NA
"55","DSNY","DSNY_057",NA,NA,NA,NA,NA,1.78036351857184,NA,NA
"56","DSNY","DSNY_058",NA,NA,NA,NA,NA,2.23703354448604,NA,NA
"57","DSNY","DSNY_059",NA,NA,NA,NA,NA,1.54093147135042,NA,NA
"58","DSNY","DSNY_060",NA,NA,NA,NA,NA,4.50015188597754,NA,NA
"59","DSNY","DSNY_061",NA,NA,NA,NA,NA,1.8130118053556,NA,NA
"60","DSNY","DSNY_062",NA,NA,NA,NA,NA,6.06233011805356,NA,NA
"61","DSNY","DSNY_063",NA,NA,NA,NA,NA,4.2526000575871,NA,NA
"62","DSNY","DSNY_064",NA,NA,NA,NA,NA,2.30060466455514,NA,NA
"63","DSNY","DSNY_065",NA,NA,NA,NA,NA,2.44506910452059,NA,NA
"64","DSNY","DSNY_066",NA,NA,NA,NA,NA,1.90185574431327,NA,NA
"65","DSNY","DSNY_067",NA,NA,NA,NA,NA,0.964224013820904,NA,NA
"66","DSNY","DSNY_068",NA,NA,NA,NA,NA,0.383997984451483,NA,NA
"67","DSNY","DSNY_069",NA,NA,NA,NA,NA,1.4876115750072,NA,NA
"68","DSNY","DSNY_070",NA,NA,NA,NA,NA,2.68933918802188,NA,NA
