"","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"1",1,"DELA_001-M-0-0-20191112","2019-11-12 20:17:00","DELA_001-M-0-0",2.37,2.713,5.083,0.07,0.134,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2113416.09375,21134160937.5,21134.1609375,21.1341609375
"2",2,"DELA_001-M-11-30-20190513","2019-05-13 20:20:00","DELA_001-M-11-30",0.648,1.99,2.637,0.093,0.002,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1096415.15625,10964151562.5,10964.1515625,10.9641515625
"3",3,"DELA_001-M-21.5-0-20190626","2019-06-26 12:27:00","DELA_001-M-21.5-0",0.233,0.783,1.016,0.083,0.07,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,422433.75,4224337500,4224.3375,4.2243375
"4",4,"DELA_001-M-28-32.5-20190626","2019-06-26 13:06:00","DELA_001-M-28-32.5",0.328,0.93,1.258,0.113,0.12,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,523052.8125,5230528125,5230.528125,5.230528125
"5",5,"DELA_001-M-28.5-39.5-20190513","2019-05-13 20:49:00","DELA_001-M-28.5-39.5",0.452,3.22,3.673,-0.07,-0.101,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1527164.53125,15271645312.5,15271.6453125,15.2716453125
"6",6,"DELA_001-M-32.5-23.5-20191112","2019-11-12 19:45:00","DELA_001-M-32.5-23.5",0.278,1.293,1.571,0.05,0.049,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,653192.34375,6531923437.5,6531.9234375,6.5319234375
"7",7,"DELA_001-M-33-12.5-20190513","2019-05-13 19:31:00","DELA_001-M-33-12.5",0.706,1.201,1.907,0.196,0.218,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,792894.84375,7928948437.5,7928.9484375,7.9289484375
"8",8,"DELA_001-M-36.5-11.5-20191112","2019-11-12 20:01:00","DELA_001-M-36.5-11.5",0.742,0.644,1.386,0.114,0.11,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,576272.8125,5762728125,5762.728125,5.762728125
"9",9,"DELA_001-M-6-6.5-20190626","2019-06-26 12:49:00","DELA_001-M-6-6.5",0.605,1.403,2.009,0.251,0.258,"DELA","DELA_001-M","DELA_001","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,835304.53125,8353045312.5,8353.0453125,8.3530453125
"10",10,"DELA_002-M-19.5-37-20190624","2019-06-24 17:01:00","DELA_002-M-19.5-37",0.698,0.546,1.244,0.107,0.095,"DELA","DELA_002-M","DELA_002","M",1.445,1.3859375,1.445,10000,3e+05,433500,539274,5392740000,5392.74,5.39274
