"","plotID","siteID","total.carbon","soil.C.Mg.ha","...1","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha","mean.root.MgC.ha"
"1","DEJU_004","DEJU",11853.28,118.5328,NA,NA,NA,NA,NA,NA,NA
"2","DEJU_005","DEJU",4807.38,48.0738,NA,NA,NA,NA,NA,NA,NA
"3","DEJU_007","DEJU",5464.41625,54.6441625,NA,NA,NA,NA,NA,NA,NA
"4","DEJU_008","DEJU",7116.6,71.166,NA,NA,NA,NA,NA,NA,NA
"5","DEJU_010","DEJU",4194.82,41.9482,NA,NA,NA,NA,NA,NA,NA
"6","DEJU_011","DEJU",3292.32,32.9232,NA,NA,NA,NA,NA,NA,NA
"7","DEJU_012","DEJU",4783.52,47.8352,NA,NA,NA,NA,NA,NA,NA
"8","DEJU_013","DEJU",5101.920625,51.01920625,NA,NA,NA,NA,NA,NA,NA
"9","DEJU_014","DEJU",14592.97,145.9297,NA,NA,NA,NA,NA,NA,NA
"10","DEJU_016","DEJU",4023.59,40.2359,NA,NA,NA,NA,NA,NA,NA
"11","DEJU_017","DEJU",4808.05,48.0805,NA,NA,NA,NA,NA,NA,NA
"12","DEJU_018","DEJU",12140.670625,121.40670625,NA,NA,NA,NA,NA,NA,NA
"13","DEJU_022","DEJU",172625.34375,1726.2534375,NA,NA,NA,NA,NA,NA,NA
"14","DEJU_023","DEJU",5971.08,59.7108,NA,NA,NA,NA,NA,NA,NA
"15","DEJU_024","DEJU",15466.89,154.6689,NA,NA,NA,NA,NA,NA,NA
"16","DEJU_025","DEJU",3076.2,30.762,NA,NA,NA,NA,NA,NA,NA
"17","DEJU_027","DEJU",6223.4,62.234,NA,NA,NA,NA,NA,NA,NA
"18","DEJU_045","DEJU",8227.125625,82.27125625,1,800,455.392881830371,0.569241102287963,5.69241102287963,2.67543318075343,8.77373287812101
"19","HEAL_045","HEAL",45311.17,453.1117,NA,NA,NA,NA,NA,NA,12.907704
"20","HEAL_046","HEAL",45311.17,453.1117,NA,NA,NA,NA,NA,NA,17.799605
