"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"1",1,1,"BONA_001-M-15-34-20190830","2019-08-30 20:58:00","BONA_001-M-15-34",0.783,0.885,1.668,-0.022,-0.006,"BONA","BONA_001-M","BONA_001","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,345933.668571429,3459336685.71429,3459.33668571429,3.45933668571429
"2",2,2,"BONA_001-M-26-4.5-20190830","2019-08-30 19:00:00","BONA_001-M-26-4.5",1.444,0.725,2.169,NA,NA,"BONA","BONA_001-M","BONA_001","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,449838.205714286,4498382057.14286,4498.38205714286,4.49838205714286
"3",3,3,"BONA_001-M-28-37.5-20190830","2019-08-30 20:07:00","BONA_001-M-28-37.5",1.236,1.07,2.307,0,0.033,"BONA","BONA_001-M","BONA_001","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,478458.617142857,4784586171.42857,4784.58617142857,4.78458617142857
"4",4,4,"BONA_001-O-15-34-20190830","2019-08-30 20:58:00","BONA_001-O-15-34",3.952,3.718,7.67,-0.266,-0.138,"BONA","BONA_001-O","BONA_001","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1590714.17142857,15907141714.2857,15907.1417142857,15.9071417142857
"5",5,5,"BONA_001-O-26-4.5-20190830","2019-08-30 19:00:00","BONA_001-O-26-4.5",6.686,4.034,10.719,5.141,0.022,"BONA","BONA_001-O","BONA_001","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,2223059.34857143,22230593485.7143,22230.5934857143,22.2305934857143
"6",6,6,"BONA_001-O-28-37.5-20190830","2019-08-30 20:07:00","BONA_001-O-28-37.5",23.134,1.107,24.241,-1.06,0.006,"BONA","BONA_001-O","BONA_001","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,5027444.88,50274448800,50274.4488,50.2744488
"7",7,7,"BONA_002-M-18.5-36-20190828","2019-08-29 02:03:00","BONA_002-M-18.5-36",3.42,0.723,4.143,-0.11,0.025,"BONA","BONA_002-M","BONA_002","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,859234.525714286,8592345257.14286,8592.34525714286,8.59234525714286
"8",8,8,"BONA_002-M-33.5-34.5-20190828","2019-08-29 02:35:00","BONA_002-M-33.5-34.5",2.019,0.433,2.453,-0.037,0.025,"BONA","BONA_002-M","BONA_002","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,508738.182857143,5087381828.57143,5087.38182857143,5.08738182857143
"9",9,9,"BONA_002-M-6-8.5-20190828","2019-08-29 01:26:00","BONA_002-M-6-8.5",2.705,0.3,3.005,-0.049,0.024,"BONA","BONA_002-M","BONA_002","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,623219.828571429,6232198285.71429,6232.19828571429,6.23219828571429
"10",10,10,"BONA_002-O-18.5-36-20190828","2019-08-29 02:03:00","BONA_002-O-18.5-36",29.661,2.083,31.745,-0.494,-0.018,"BONA","BONA_002-O","BONA_002","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,6583731.6,65837316000,65837.316,65.837316
"11",11,11,"BONA_002-O-33.5-34.5-20190828","2019-08-29 02:35:00","BONA_002-O-33.5-34.5",10.127,1.008,11.135,0.569,0.056,"BONA","BONA_002-O","BONA_002","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,2309335.37142857,23093353714.2857,23093.3537142857,23.0933537142857
"12",12,12,"BONA_002-O-6-8.5-20190828","2019-08-29 01:26:00","BONA_002-O-6-8.5",4.366,0.723,5.09,0.194,-0.01,"BONA","BONA_002-O","BONA_002","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1055636.91428571,10556369142.8571,10556.3691428571,10.5563691428571
"13",13,13,"BONA_004-M-13.5-32.5-20190830","2019-08-30 19:09:00","BONA_004-M-13.5-32.5",0.755,0.691,1.446,-0.023,0.002,"BONA","BONA_004-M","BONA_004","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,299892.137142857,2998921371.42857,2998.92137142857,2.99892137142857
"14",14,14,"BONA_004-M-17-6.5-20190830","2019-08-30 20:06:00","BONA_004-M-17-6.5",0.743,0.53,1.273,0.056,0.075,"BONA","BONA_004-M","BONA_004","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,264012.925714286,2640129257.14286,2640.12925714286,2.64012925714286
"15",15,15,"BONA_004-M-23.5-6.5-20190830","2019-08-30 20:52:00","BONA_004-M-23.5-6.5",0.61,0.514,1.124,-0.001,0.019,"BONA","BONA_004-M","BONA_004","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,233111.177142857,2331111771.42857,2331.11177142857,2.33111177142857
"16",16,16,"BONA_004-O-13.5-32.5-20190830","2019-08-30 19:09:00","BONA_004-O-13.5-32.5",1.759,5.913,7.671,-0.245,-0.266,"BONA","BONA_004-O","BONA_004","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1590921.56571429,15909215657.1429,15909.2156571429,15.9092156571429
"17",17,17,"BONA_004-O-17-6.5-20190830","2019-08-30 20:06:00","BONA_004-O-17-6.5",1.138,0.755,1.893,-0.005,-0.015,"BONA","BONA_004-O","BONA_004","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,392597.382857143,3925973828.57143,3925.97382857143,3.92597382857143
"18",18,18,"BONA_004-O-23.5-6.5-20190830","2019-08-30 20:52:00","BONA_004-O-23.5-6.5",0.839,0.309,1.148,0.083,0.041,"BONA","BONA_004-O","BONA_004","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,238088.64,2380886400,2380.8864,2.3808864
"19",19,19,"BONA_006-M-2-31.5-20190828","2019-08-28 19:52:00","BONA_006-M-2-31.5",0.637,0.778,1.415,-0.019,-0.009,"BONA","BONA_006-M","BONA_006","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,293462.914285714,2934629142.85714,2934.62914285714,2.93462914285714
"20",20,20,"BONA_006-M-24.5-34.5-20190828","2019-08-28 20:51:00","BONA_006-M-24.5-34.5",2.637,2.458,5.095,-0.019,0.062,"BONA","BONA_006-M","BONA_006","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1056673.88571429,10566738857.1429,10566.7388571429,10.5667388571429
"21",21,21,"BONA_006-M-34.5-17.5-20190828","2019-08-28 21:46:00","BONA_006-M-34.5-17.5",0.951,0.693,1.644,0.069,0.036,"BONA","BONA_006-M","BONA_006","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,340956.205714286,3409562057.14286,3409.56205714286,3.40956205714286
"22",22,22,"BONA_006-O-2-31.5-20190828","2019-08-28 19:52:00","BONA_006-O-2-31.5",1.293,1.164,2.457,0.048,0.059,"BONA","BONA_006-O","BONA_006","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,509567.76,5095677600,5095.6776,5.0956776
"23",23,23,"BONA_006-O-24.5-34.5-20190828","2019-08-28 20:51:00","BONA_006-O-24.5-34.5",2.131,0.997,3.128,0.215,0.252,"BONA","BONA_006-O","BONA_006","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,648729.325714286,6487293257.14286,6487.29325714286,6.48729325714286
"24",24,24,"BONA_006-O-34.5-17.5-20190828","2019-08-28 21:46:00","BONA_006-O-34.5-17.5",1.185,0.63,1.815,0.148,0.063,"BONA","BONA_006-O","BONA_006","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,376420.628571429,3764206285.71429,3764.20628571429,3.76420628571429
"25",25,25,"BONA_009-M-2.5-24.5-20190828","2019-08-29 03:20:00","BONA_009-M-2.5-24.5",1.204,0.532,1.736,0.071,0.094,"BONA","BONA_009-M","BONA_009","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,360036.48,3600364800,3600.3648,3.6003648
