"sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay"
"DELA_001-M-0-0-20191112",2019-11-12 20:17:00,"DELA_001-M-0-0",2.37,2.713,5.083,0.07,0.134
"DELA_001-M-11-30-20190513",2019-05-13 20:20:00,"DELA_001-M-11-30",0.648,1.99,2.637,0.093,0.002
"DELA_001-M-21.5-0-20190626",2019-06-26 12:27:00,"DELA_001-M-21.5-0",0.233,0.783,1.016,0.083,0.07
"DELA_001-M-28-32.5-20190626",2019-06-26 13:06:00,"DELA_001-M-28-32.5",0.328,0.93,1.258,0.113,0.12
"DELA_001-M-28.5-39.5-20190513",2019-05-13 20:49:00,"DELA_001-M-28.5-39.5",0.452,3.22,3.673,-0.07,-0.101
"DELA_001-M-32.5-23.5-20191112",2019-11-12 19:45:00,"DELA_001-M-32.5-23.5",0.278,1.293,1.571,0.05,0.049
"DELA_001-M-33-12.5-20190513",2019-05-13 19:31:00,"DELA_001-M-33-12.5",0.706,1.201,1.907,0.196,0.218
"DELA_001-M-36.5-11.5-20191112",2019-11-12 20:01:00,"DELA_001-M-36.5-11.5",0.742,0.644,1.386,0.114,0.11
"DELA_001-M-6-6.5-20190626",2019-06-26 12:49:00,"DELA_001-M-6-6.5",0.605,1.403,2.009,0.251,0.258
"DELA_002-M-19.5-37-20190624",2019-06-24 17:01:00,"DELA_002-M-19.5-37",0.698,0.546,1.244,0.107,0.095
"DELA_002-M-21-38.5-20191113",2019-11-13 19:54:00,"DELA_002-M-21-38.5",0.459,0.795,1.254,-0.013,-0.021
"DELA_002-M-3.5-1.5-20191113",2019-11-13 20:28:00,"DELA_002-M-3.5-1.5",1.104,0.693,1.797,0.061,0.101
"DELA_002-M-32.5-18.5-20190624",2019-06-24 16:52:00,"DELA_002-M-32.5-18.5",0.684,1.074,1.759,0.199,0.139
"DELA_002-M-39.5-9.5-20191113",2019-11-13 20:13:00,"DELA_002-M-39.5-9.5",1.793,0.929,2.722,0.11,0.123
"DELA_002-M-8.5-6-20190624",2019-06-24 16:35:00,"DELA_002-M-8.5-6",1.579,1.382,2.96,0.142,0.141
"DELA_003-M-0.5-9.5-20190626",2019-06-26 13:51:00,"DELA_003-M-0.5-9.5",1.618,0.804,2.423,0.631,0.352
"DELA_003-M-12-34.5-20190515",2019-05-15 17:26:00,"DELA_003-M-12-34.5",2.045,1.662,3.707,0.648,-0.061
