"","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay"
"1","BONA_001-M-15-34-20190830",2019-08-30 20:58:00,"BONA_001-M-15-34",0.783,0.885,1.668,-0.022,-0.006
"2","BONA_001-M-26-4.5-20190830",2019-08-30 19:00:00,"BONA_001-M-26-4.5",1.444,0.725,2.169,NA,NA
"3","BONA_001-M-28-37.5-20190830",2019-08-30 20:07:00,"BONA_001-M-28-37.5",1.236,1.07,2.307,0,0.033
"4","BONA_001-O-15-34-20190830",2019-08-30 20:58:00,"BONA_001-O-15-34",3.952,3.718,7.67,-0.266,-0.138
"5","BONA_001-O-26-4.5-20190830",2019-08-30 19:00:00,"BONA_001-O-26-4.5",6.686,4.034,10.719,5.141,0.022
"6","BONA_001-O-28-37.5-20190830",2019-08-30 20:07:00,"BONA_001-O-28-37.5",23.134,1.107,24.241,-1.06,0.006
"7","BONA_002-M-18.5-36-20190828",2019-08-29 02:03:00,"BONA_002-M-18.5-36",3.42,0.723,4.143,-0.11,0.025
"8","BONA_002-M-33.5-34.5-20190828",2019-08-29 02:35:00,"BONA_002-M-33.5-34.5",2.019,0.433,2.453,-0.037,0.025
"9","BONA_002-M-6-8.5-20190828",2019-08-29 01:26:00,"BONA_002-M-6-8.5",2.705,0.3,3.005,-0.049,0.024
"10","BONA_002-O-18.5-36-20190828",2019-08-29 02:03:00,"BONA_002-O-18.5-36",29.661,2.083,31.745,-0.494,-0.018
"11","BONA_002-O-33.5-34.5-20190828",2019-08-29 02:35:00,"BONA_002-O-33.5-34.5",10.127,1.008,11.135,0.569,0.056
"12","BONA_002-O-6-8.5-20190828",2019-08-29 01:26:00,"BONA_002-O-6-8.5",4.366,0.723,5.09,0.194,-0.01
"13","BONA_004-M-13.5-32.5-20190830",2019-08-30 19:09:00,"BONA_004-M-13.5-32.5",0.755,0.691,1.446,-0.023,0.002
"14","BONA_004-M-17-6.5-20190830",2019-08-30 20:06:00,"BONA_004-M-17-6.5",0.743,0.53,1.273,0.056,0.075
"15","BONA_004-M-23.5-6.5-20190830",2019-08-30 20:52:00,"BONA_004-M-23.5-6.5",0.61,0.514,1.124,-0.001,0.019
"16","BONA_004-O-13.5-32.5-20190830",2019-08-30 19:09:00,"BONA_004-O-13.5-32.5",1.759,5.913,7.671,-0.245,-0.266
"17","BONA_004-O-17-6.5-20190830",2019-08-30 20:06:00,"BONA_004-O-17-6.5",1.138,0.755,1.893,-0.005,-0.015
"18","BONA_004-O-23.5-6.5-20190830",2019-08-30 20:52:00,"BONA_004-O-23.5-6.5",0.839,0.309,1.148,0.083,0.041
"19","BONA_006-M-2-31.5-20190828",2019-08-28 19:52:00,"BONA_006-M-2-31.5",0.637,0.778,1.415,-0.019,-0.009
"20","BONA_006-M-24.5-34.5-20190828",2019-08-28 20:51:00,"BONA_006-M-24.5-34.5",2.637,2.458,5.095,-0.019,0.062
"21","BONA_006-M-34.5-17.5-20190828",2019-08-28 21:46:00,"BONA_006-M-34.5-17.5",0.951,0.693,1.644,0.069,0.036
"22","BONA_006-O-2-31.5-20190828",2019-08-28 19:52:00,"BONA_006-O-2-31.5",1.293,1.164,2.457,0.048,0.059
"23","BONA_006-O-24.5-34.5-20190828",2019-08-28 20:51:00,"BONA_006-O-24.5-34.5",2.131,0.997,3.128,0.215,0.252
"24","BONA_006-O-34.5-17.5-20190828",2019-08-28 21:46:00,"BONA_006-O-34.5-17.5",1.185,0.63,1.815,0.148,0.063
"25","BONA_009-M-2.5-24.5-20190828",2019-08-29 03:20:00,"BONA_009-M-2.5-24.5",1.204,0.532,1.736,0.071,0.094
"26","BONA_009-M-31.5-32.5-20190828",2019-08-29 02:30:00,"BONA_009-M-31.5-32.5",0.726,0.96,1.686,0.02,-0.003
"27","BONA_009-M-32-16-20190828",2019-08-29 02:00:00,"BONA_009-M-32-16",1.322,0.528,1.85,-0.01,0.017
"28","BONA_009-O-2.5-24.5-20190828",2019-08-29 03:20:00,"BONA_009-O-2.5-24.5",1.85,0.926,2.776,4.764,0.024
"29","BONA_009-O-31.5-32.5-20190828",2019-08-29 02:30:00,"BONA_009-O-31.5-32.5",1.116,0.73,1.845,0.067,0.063
"30","BONA_009-O-32-16-20190828",2019-08-29 02:00:00,"BONA_009-O-32-16",2.315,0.71,3.025,0.299,0.029
"31","BONA_013-M-11.5-2.5-20190828",2019-08-28 22:14:00,"BONA_013-M-11.5-2.5",0.83,0.341,1.171,0.015,0.031
"32","BONA_013-M-19-30.5-20190828",2019-08-28 21:25:00,"BONA_013-M-19-30.5",0.491,0.304,0.795,-0.001,0.005
"33","BONA_013-M-31-29.5-20190828",2019-08-28 20:23:00,"BONA_013-M-31-29.5",0.561,0.608,1.169,0.036,0.036
"34","BONA_013-O-11.5-2.5-20190828",2019-08-28 22:14:00,"BONA_013-O-11.5-2.5",3.386,0.635,4.021,0.232,0.04
"35","BONA_013-O-19-30.5-20190828",2019-08-28 21:25:00,"BONA_013-O-19-30.5",3.434,1.156,4.59,0.396,-0.017
"36","BONA_013-O-31-29.5-20190828",2019-08-28 20:23:00,"BONA_013-O-31-29.5",1.431,0.767,2.198,0.043,-0.001
"37","BONA_070-M-26-8.5-20190826",2019-08-26 22:20:00,"BONA_070-M-26-8.5",0.612,2.497,3.108,-0.016,-0.014
"38","BONA_070-M-3-13.5-20190826",2019-08-26 23:55:00,"BONA_070-M-3-13.5",1.536,3.271,4.806,-0.004,-0.04
