"","plotID","siteID","total.carbon","soil.C.Mg.ha"
"1","DSNY_001","DSNY",3516.26,35.1626
"2","DSNY_002","DSNY",13154.98,131.5498
"3","DSNY_004","DSNY",18379.79,183.7979
"4","DSNY_005","DSNY",5956.72,59.5672
"5","DSNY_006","DSNY",1680.98,16.8098
"6","DSNY_009","DSNY",10250.08,102.5008
"7","DSNY_010","DSNY",13625.81,136.2581
"8","DSNY_011","DSNY",27997.48,279.9748
"9","DSNY_015","DSNY",11774.76,117.7476
"10","DSNY_018","DSNY",4542.21,45.4221
"11","DSNY_019","DSNY",2468.34,24.6834
"12","DSNY_022","DSNY",3176.44,31.7644
"13","DSNY_023","DSNY",6849.3,68.493
"14","DSNY_027","DSNY",14014.65,140.1465
"15","DSNY_036","DSNY",4836.48,48.3648
"16","DSNY_044","DSNY",8134.76,81.3476
"17","JERC_002","JERC",10010.75,100.1075
"18","JERC_003","JERC",6046.44,60.4644
"19","JERC_005","JERC",5448.72,54.4872
"20","JERC_006","JERC",5014.1,50.141
"21","JERC_008","JERC",5366.98,53.6698
"22","JERC_009","JERC",8862.48,88.6248
"23","JERC_010","JERC",3584.79,35.8479
"24","JERC_013","JERC",4565.42,45.6542
"25","JERC_015","JERC",6051.08,60.5108
"26","JERC_016","JERC",2758.6,27.586
"27","JERC_019","JERC",4659.1,46.591
"28","JERC_021","JERC",7381.9,73.819
"29","JERC_022","JERC",6666.68,66.6668
"30","JERC_028","JERC",9324.26,93.2426
"31","JERC_029","JERC",4349.06,43.4906
"32","JERC_030","JERC",4854.5,48.545
"33","JERC_031","JERC",4677.91,46.7791
"34","JERC_033","JERC",7755.7,77.557
"35","JERC_034","JERC",6140.7,61.407
"36","JERC_035","JERC",6420.45,64.2045
"37","JERC_047","JERC",2786.1947826087,27.861947826087
"38","JERC_048","JERC",3810.42260869565,38.1042260869565
"39","JERC_049","JERC",4856.78260869565,48.5678260869565
"40","OSBS_002","OSBS",4065.6,40.656
"41","OSBS_003","OSBS",4762.62,47.6262
"42","OSBS_005","OSBS",16250.8,162.508
"43","OSBS_007","OSBS",4908.16,49.0816
"44","OSBS_008","OSBS",4742.58,47.4258
"45","OSBS_010","OSBS",3968.1,39.681
"46","OSBS_011","OSBS",7176.66,71.7666
"47","OSBS_013","OSBS",3394.21,33.9421
"48","OSBS_014","OSBS",3996.435,39.96435
"49","OSBS_015","OSBS",19757.9501538462,197.579501538462
"50","OSBS_016","OSBS",15782.16,157.8216
"51","OSBS_017","OSBS",44529.6366666667,445.296366666667
"52","OSBS_018","OSBS",10312.32,103.1232
"53","OSBS_020","OSBS",25044.01,250.4401
"54","OSBS_021","OSBS",30465.94,304.6594
"55","OSBS_022","OSBS",156712.986666667,1567.12986666667
"56","OSBS_023","OSBS",17043.1,170.431
"57","OSBS_024","OSBS",25320.1,253.201
"58","OSBS_026","OSBS",8366.86523076923,83.6686523076923
"59","OSBS_031","OSBS",5721.20769230769,57.2120769230769
"60","OSBS_048","OSBS",4289.44,42.8944
"61","OSBS_050","OSBS",7173.82,71.7382
"62","OSBS_051","OSBS",5535.46,55.3546
